,x,y,target
0,40.049973,15.808038,comp.graphics
1,-33.0123,-20.0719,talk.religion.misc
2,10.261343,-4.6565356,sci.space
3,-30.968407,-0.677855,alt.atheism
4,21.985703,-30.528942,sci.space
5,-42.292328,18.944595,alt.atheism
6,8.938631,-11.030296,sci.space
7,26.117712,5.9509153,comp.graphics
8,17.860481,-49.05704,sci.space
9,21.093367,25.801432,comp.graphics
10,8.537781,-43.08974,sci.space
11,30.219683,28.603539,comp.graphics
12,9.044211,22.508629,comp.graphics
13,20.971252,-32.973267,sci.space
14,47.229797,24.582327,comp.graphics
15,12.708351,-35.75372,sci.space
16,-61.331165,-10.262967,alt.atheism
17,0.6026948,-31.399605,sci.space
18,15.560469,-47.098385,sci.space
19,-10.036843,-6.0782275,talk.religion.misc
20,10.343578,-46.323658,sci.space
21,24.998955,5.088287,comp.graphics
22,-15.592563,-7.488199,talk.religion.misc
23,-43.084095,-4.154698,talk.religion.misc
24,35.80495,4.077292,comp.graphics
25,41.086285,21.716015,comp.graphics
26,23.615921,-35.373417,sci.space
27,35.012688,19.485777,comp.graphics
28,20.256079,-25.36117,sci.space
29,-21.209028,9.791696,talk.religion.misc
30,-17.649584,36.568176,alt.atheism
31,-41.155254,-21.433401,talk.religion.misc
32,53.157238,13.68985,comp.graphics
33,54.67397,4.705717,comp.graphics
34,-49.91303,37.557793,alt.atheism
35,17.529366,-24.59667,sci.space
36,-27.450834,16.855488,alt.atheism
37,9.105341,24.356936,comp.graphics
38,-45.691433,-20.105495,alt.atheism
39,2.7878835,-40.354683,sci.space
40,-14.225844,4.7825165,alt.atheism
41,6.8137045,-42.153194,sci.space
42,-49.16095,31.114737,alt.atheism
43,24.447653,24.663052,comp.graphics
44,33.244797,27.80608,comp.graphics
45,-40.953526,28.252851,alt.atheism
46,-62.041553,-7.109445,alt.atheism
47,-57.572575,-17.29278,talk.religion.misc
48,-21.810335,0.83056194,talk.religion.misc
49,-31.421095,-1.1385248,talk.religion.misc
50,41.933197,-0.64820355,comp.graphics
51,2.0152495,-16.398245,sci.space
52,-42.29902,-22.829748,talk.religion.misc
53,18.348465,20.910427,sci.space
54,35.9712,29.015167,comp.graphics
55,-44.168705,-3.8955631,alt.atheism
56,19.81516,23.055023,comp.graphics
57,18.020706,18.81818,comp.graphics
58,28.037334,24.332794,comp.graphics
59,29.966318,18.702164,comp.graphics
60,8.026319,-50.420406,sci.space
61,-27.221119,-14.69789,alt.atheism
62,39.512066,30.156542,comp.graphics
63,35.094383,14.895373,comp.graphics
64,19.717304,-11.445374,sci.space
65,21.193237,-2.8583148,comp.graphics
66,20.081629,-45.10425,sci.space
67,-45.513893,28.677732,alt.atheism
68,31.469126,14.097299,comp.graphics
69,-35.943092,20.758127,talk.religion.misc
70,26.8807,23.934135,comp.graphics
71,11.1936655,-9.084953,sci.space
72,13.034947,-17.01357,sci.space
73,62.94968,14.5677395,comp.graphics
74,16.432621,-31.10481,sci.space
75,48.538128,26.843712,comp.graphics
76,-45.374775,-17.38306,alt.atheism
77,-44.45703,2.55449,alt.atheism
78,9.707628,-53.09356,sci.space
79,43.671204,1.982043,comp.graphics
80,-41.32237,-18.956656,talk.religion.misc
81,-42.127865,32.23918,talk.religion.misc
82,-60.078346,-6.16067,alt.atheism
83,-42.268745,-8.541068,talk.religion.misc
84,7.2210264,-0.15589494,sci.space
85,11.928629,-22.848011,sci.space
86,-40.704235,5.02291,alt.atheism
87,4.6603827,23.910908,sci.space
88,-36.88072,3.5055115,alt.atheism
89,-39.871704,21.463171,talk.religion.misc
90,25.998121,9.071852,comp.graphics
91,-40.65789,-26.482014,talk.religion.misc
92,-42.475582,38.58644,alt.atheism
93,0.4651865,-3.3371866,sci.space
94,-17.760221,35.007317,alt.atheism
95,-36.64873,-8.189965,talk.religion.misc
96,-45.108875,27.855583,alt.atheism
97,-23.382612,-2.6043293,talk.religion.misc
98,5.6528707,-44.00539,sci.space
99,12.570181,-46.30826,sci.space
100,-62.371475,-11.798698,alt.atheism
101,-27.210375,17.738857,alt.atheism
102,2.9628963,-17.800013,talk.religion.misc
103,3.0840473,-31.126047,sci.space
104,-0.02988607,4.2905307,talk.religion.misc
105,6.255309,-32.78716,sci.space
106,4.897476,-35.632385,sci.space
107,53.233704,9.332803,comp.graphics
108,-37.940376,8.254821,alt.atheism
109,19.507881,-31.839775,sci.space
110,-30.816643,-2.3280919,talk.religion.misc
111,-33.81728,13.533572,talk.religion.misc
